industry_code,count,percentage
other,16,13.445378151260504
4013,9,7.563025210084033
7215,7,5.88235294117647
7771,7,5.88235294117647
7759,3,2.5210084033613445
7761,3,2.5210084033613445
9212,3,2.5210084033613445
9799,3,2.5210084033613445
7292,2,1.680672268907563
7721,2,1.680672268907563
4275,2,1.680672268907563
9999,2,1.680672268907563
7611,2,1.680672268907563
8651,2,1.680672268907563
4299,2,1.680672268907563
7752,2,1.680672268907563
7799,2,1.680672268907563
4561,2,1.680672268907563
0112,2,1.680672268907563
8652,2,1.680672268907563
6031,2,1.680672268907563
6412,2,1.680672268907563
3244,1,0.8403361344537815
9712,1,0.8403361344537815
4279,1,0.8403361344537815
3299,1,0.8403361344537815
6121,1,0.8403361344537815
4219,1,0.8403361344537815
6231,1,0.8403361344537815
9639,1,0.8403361344537815
6312,1,0.8403361344537815
9713,1,0.8403361344537815
7751,1,0.8403361344537815
9141,1,0.8403361344537815
9611,1,0.8403361344537815
7791,1,0.8403361344537815
7211,1,0.8403361344537815
4011,1,0.8403361344537815
7511,1,0.8403361344537815
5622,1,0.8403361344537815
9726,1,0.8403361344537815
9221,1,0.8403361344537815
4261,1,0.8403361344537815
9211,1,0.8403361344537815
4233,1,0.8403361344537815
8667,1,0.8403361344537815
6413,1,0.8403361344537815
9953,1,0.8403361344537815
7731,1,0.8403361344537815
8653,1,0.8403361344537815
9121,1,0.8403361344537815
8639,1,0.8403361344537815
6032,1,0.8403361344537815
5219,1,0.8403361344537815
6599,1,0.8403361344537815
8669,1,0.8403361344537815
8635,1,0.8403361344537815
4569,1,0.8403361344537815
8521,1,0.8403361344537815
0219,1,0.8403361344537815
7749,1,0.8403361344537815
9861,1,0.8403361344537815
